"Fecha","Hora","DAM","RTM"
2024-02-24,19,8.96,-12.41
2024-02-24,20,1.19,-2.2
2024-02-24,21,-3.78,-7.48
2024-02-24,22,-4.03,-13.79
2024-02-24,23,-7.8,-24.9
2024-02-24,24,-4.89,-26.39
2024-03-19,15,6.97,2.68
2024-03-19,16,8.29,6.01
2024-03-19,17,8.98,10.35
2024-03-19,18,11.72,14.12
2024-03-19,19,20.31,17.89
2024-03-19,20,45.59,54.42
2024-03-19,21,22.64,26.09
2024-03-19,22,15.7,115.72
2024-03-19,23,14.22,548.01
2024-03-19,24,12.69,490.49
2024-03-20,1,15.3,377.28
2024-03-20,2,12.44,88.63
2024-03-20,3,12.7,85.66
2024-03-20,4,13.88,22.1
2024-03-20,5,15.63,19.58
2024-03-20,6,19.69,19.11
2024-03-20,7,37.8,54.77
2024-03-20,8,40.31,59.31
2024-03-20,9,34.47,55.05
2024-03-20,10,24.14,20.98
2024-03-20,11,17.85,18.25
2024-03-20,12,17.85,16.6
2024-03-20,13,15.7,15.89
2024-03-20,14,11.59,12.89
2024-03-20,15,10.3,15.3
2024-03-20,16,15.32,17.24
2024-03-20,17,15.78,15.76
2024-03-20,18,15.09,19.62
2024-03-20,19,13.1,25.22
2024-03-20,20,39.12,39.13
2024-03-20,21,2.14,33.87
2024-03-20,22,-8.36,23.54
2024-03-20,23,2.62,17.41
2024-03-20,24,3.32,17.37
2024-03-21,1,13.85,16.93
2024-03-21,2,13.07,18.89
2024-03-21,3,13.91,25.59
2024-03-21,4,17.77,23.73
2024-03-21,5,19.45,28.94
2024-03-21,6,24.7,46.12
2024-03-21,7,43.31,82.21
2024-03-21,8,51.26,72.12
2024-03-21,9,54.16,44.52
2024-03-21,10,35.02,37.03
2024-03-21,11,27.51,22.31
2024-03-21,12,25.55,20.4
2024-03-21,13,21.99,21.53
2024-03-21,14,21.17,19.81
2024-03-21,15,23.79,19.08
2024-03-21,16,25.72,20.37
2024-03-21,17,25.36,16.65
2024-03-21,18,30.74,14.57
2024-03-21,19,48.48,31.23
2024-03-21,20,126.6,70.6
2024-03-21,21,127.05,59.89
2024-03-21,22,80.89,74.69
2024-03-21,23,49.15,59.82
2024-03-21,24,39.96,41.34
2024-03-22,1,38.74,34.33
2024-03-22,2,32.6,24.17
2024-03-22,3,27.57,23.24
2024-03-22,4,23.92,31.34
2024-03-22,5,20.64,36.17
2024-03-22,6,21.82,31.4
2024-03-22,7,58.38,54.2
2024-03-22,8,47.09,117.98
2024-03-22,9,29.76,21.32
2024-03-22,10,17.62,16.12
2024-03-22,11,14.32,13.8
2024-03-22,12,12.78,11.75
2024-03-22,13,9.34,6.38
2024-03-22,14,7.08,0.09
2024-03-22,15,3.59,-1.24
2024-03-22,16,-0.2,-1.49
2024-03-22,17,1.05,-0.1
2024-03-22,18,7.86,1.42
2024-03-22,19,24.77,12.9
2024-03-22,20,68.3,30.02
2024-03-22,21,29.43,20.93
2024-03-22,22,-1.88,4.15
2024-03-22,23,-17.34,-59.17
2024-03-22,24,-43.3,-43.46
2024-04-15,14,1.68,21.77
2024-04-15,15,-0.97,22.89
2024-04-15,16,-2.84,27.88
2024-04-15,17,-0.54,39.73
2024-04-15,18,-1,7.8
2024-04-15,19,-5.4,-15.25
2024-04-15,20,-21.79,-50.55
2024-04-15,21,-29.61,-61.45
2024-04-15,22,-25.56,-51.56
2024-04-15,23,-26.39,-54.8
2024-04-15,24,-19.34,-54.53
2024-04-16,1,-43.59,-59.5
2024-04-16,2,-39.1,-59.51
2024-04-16,3,-38.89,-64.58
2024-04-16,4,-38.65,-63.82
2024-04-16,5,-30.98,-60.37
2024-04-16,6,-21.15,-52.47
2024-04-16,7,-7.9,-58.87
2024-04-16,8,5,-19.11
2024-04-16,9,10.25,15.18
2024-04-16,10,8.34,10.01
2024-04-16,11,9.72,11.63
2024-04-16,12,12.37,19.44
2024-04-16,13,16.9,29.31
2024-04-16,14,21.46,42.28
2024-04-16,15,25.44,57.32
2024-04-16,16,32.18,44.92
2024-04-16,17,43.74,24.58
2024-04-16,18,52.5,40.19
2024-04-16,19,76.6,94.04
2024-04-16,20,194.07,644.51
2024-04-16,21,29.16,513.34
2024-04-16,22,-12.01,76.9
2024-04-16,23,-24.38,96.09
2024-04-16,24,-21.14,48.38
2024-04-17,1,-19.57,22.81
2024-04-17,2,-6.09,18.01
2024-04-17,3,1.96,15.06
2024-04-17,4,-0.71,12.26
2024-04-17,5,4.68,13.09
2024-04-17,6,10.91,13.62
2024-04-17,7,18.15,20.29
2024-04-17,8,21.74,16.93
2024-04-17,9,23.74,15.46
2024-04-17,10,24.04,17.02
2024-04-17,11,26.56,-26.44
2024-04-17,12,29.2,17.94
2024-04-17,13,34.15,18.68
2024-04-17,14,54.81,19.05
2024-04-17,15,61.48,18.64
2024-04-17,16,76.22,22.6
2024-04-17,17,117.72,27.89
2024-04-17,18,132.32,21.18
2024-04-17,19,83.43,17.24
2024-04-17,20,87.59,0.56
2024-04-17,21,19.1,-55.7
2024-04-17,22,-38.71,-23.2
2024-04-17,23,-17.82,4.22
2024-04-17,24,-16.17,8.43
2024-04-18,1,4.51,9.31
2024-04-18,2,0.91,6.72
2024-04-18,3,-1.75,7.71
2024-04-18,4,0.37,7.39
2024-04-18,5,1.16,5.57
2024-04-18,6,8.09,6.7
2024-04-18,7,16.88,12.98
2024-04-18,8,17.87,13.49
2024-04-18,9,16.18,12.01
2024-04-18,10,13.22,12.38
2024-04-18,11,13.91,11.63
2024-04-18,12,17.28,13.7
2024-04-18,13,21.4,18.03
2024-04-18,14,28.11,28.18
2024-04-18,15,36.28,36.63
2024-04-18,16,42.28,17.41
2024-04-18,17,44.58,20.99
2024-04-18,18,30.41,20.37
2024-04-18,19,18.15,22
2024-04-18,20,-8.62,21.2
2024-04-18,21,1.66,-11.26
2024-04-18,22,2.3,-23.16
2024-04-18,23,6.28,14.91
2024-04-18,24,2.1,14.63
2024-05-12,14,17.76,29.77
2024-05-12,15,23.1,28.81
2024-05-12,16,27.58,29.2
2024-05-12,17,29.52,52.03
2024-05-12,18,31.69,52.57
2024-05-12,19,29.66,36.58
2024-05-12,20,44.72,44.19
2024-05-12,21,56.11,54.28
2024-05-12,22,28.99,61.51
2024-05-12,23,21.15,58.99
2024-05-12,24,20.51,74.61
2024-05-13,1,25.55,58.9
2024-05-13,2,23.89,39.7
2024-05-13,3,21.91,52.96
2024-05-13,4,20.67,123.13
2024-05-13,5,21.14,179.7
2024-05-13,6,26.73,128.58
2024-05-13,7,36.26,113.42
2024-05-13,8,28.49,58.47
2024-05-13,9,17.51,23.75
2024-05-13,10,15.59,18.7
2024-05-13,11,19.39,13.74
2024-05-13,12,27.02,22.18
2024-05-13,13,46.34,34.25
2024-05-13,14,59.53,29.06
2024-05-13,15,71.25,26.83
2024-05-13,16,66.63,8.25
2024-05-13,17,63.7,28.62
2024-05-13,18,44.43,16.28
2024-05-13,19,48.92,16.84
2024-05-13,20,248.17,36.02
2024-05-13,21,372.22,0.02
2024-05-13,22,154.27,72.82
2024-05-13,23,55.72,37.95
2024-05-13,24,31.14,26.18
2024-05-14,1,34.68,31.08
2024-05-14,2,31.74,21.71
2024-05-14,3,31.83,40.23
2024-05-14,4,31.4,27.98
2024-05-14,5,33.61,27.12
2024-05-14,6,37.16,28.16
2024-05-14,7,42.01,27.02
2024-05-14,8,30.46,19.09
2024-05-14,9,18.33,11.37
2024-05-14,10,19.92,12.84
2024-05-14,11,29.41,12.75
2024-05-14,12,38.71,15.18
2024-05-14,13,51.57,17.43
2024-05-14,14,63.14,18.34
2024-05-14,15,74.39,19.02
2024-05-14,16,95.87,20.71
2024-05-14,17,106.86,36.97
2024-05-14,18,110.92,31.06
2024-05-14,19,107.2,48.36
2024-05-14,20,491.16,85.56
2024-05-14,21,117.57,43.64
2024-05-14,22,27.64,19.29
2024-05-14,23,25.1,17.76
2024-05-14,24,22.8,16.7
2024-05-15,1,16.44,16.24
2024-05-15,2,14.32,14.26
2024-05-15,3,13.19,11.29
2024-05-15,4,13.17,9.81
2024-05-15,5,13.27,10.12
2024-05-15,6,16.4,11.69
2024-05-15,7,20.89,14.25
2024-05-15,8,19.89,10.14
2024-05-15,9,16.93,6.21
2024-05-15,10,14.51,6.8
2024-05-15,11,16.95,13.09
2024-05-15,12,16.52,15.52
2024-05-15,13,17.57,20.98
2024-05-15,14,19.11,24.81
2024-05-15,15,17.81,24.02
2024-05-15,16,22.34,31.86
2024-05-15,17,37.57,31.66
2024-05-15,18,35.3,42.23
2024-05-15,19,28.46,14
2024-05-15,20,38.33,6.82
2024-05-15,21,33.28,-14.64
2024-05-15,22,27.7,-6.22
2024-05-15,23,19.2,18.1
2024-05-15,24,17.26,13.61
2024-06-08,17,58.55,55.69
2024-06-08,18,58.98,38.25
2024-06-08,19,53.66,32.24
2024-06-08,20,62.86,50.39
2024-06-08,21,52.59,48.96
2024-06-08,22,34.08,23.75
2024-06-08,23,24.74,28.6
2024-06-08,24,21.21,21.4
2024-06-09,1,19.38,20.42
2024-06-09,2,16.23,20.1
2024-06-09,3,15,17.9
2024-06-09,4,13.46,16.73
2024-06-09,5,13.21,16.53
2024-06-09,6,14.25,18.35
2024-06-09,7,16.28,18.77
2024-06-09,8,15.76,18.25
2024-06-09,9,14.12,17.92
2024-06-09,10,14.31,24.57
2024-06-09,11,20.37,36.63
2024-06-09,12,24.31,26.34
2024-06-09,13,30.43,39.09
2024-06-09,14,43.54,49.17
2024-06-09,15,54.06,54.45
2024-06-09,16,65.56,81.06
2024-06-09,17,90.75,61.08
2024-06-09,18,91.63,34.58
2024-06-09,19,85.4,40.81
2024-06-09,20,81.65,91.39
2024-06-09,21,48.88,58.01
2024-06-09,22,42.75,60.47
2024-06-09,23,25.68,51.33
2024-06-09,24,24.69,37.84
2024-06-10,1,25.41,37.15
2024-06-10,2,21.39,44.35
2024-06-10,3,20.18,24.62
2024-06-10,4,21.04,21.53
2024-06-10,5,21.86,21.81
2024-06-10,6,22.49,21.89
2024-06-10,7,28.61,39.03
2024-06-10,8,25.45,37.1
2024-06-10,9,24.21,22.83
2024-06-10,10,24.87,23.1
2024-06-10,11,27.97,27.26
2024-06-10,12,36.55,26.49
2024-06-10,13,61,94.05
2024-06-10,14,67.51,103.09
2024-06-10,15,80.74,229.68
2024-06-10,16,102.43,643.79
2024-06-10,17,105,359.67
2024-06-10,18,93.45,201.55
2024-06-10,19,113.39,183.31
2024-06-10,20,131.88,120.83
2024-06-10,21,135.34,73.81
2024-06-10,22,77.27,44.73
2024-06-10,23,34.11,33.38
2024-06-10,24,28.36,31.99
2024-06-11,1,28.03,34.39
2024-06-11,2,25.88,29.23
2024-06-11,3,24.66,27.92
2024-06-11,4,24.29,24.67
2024-06-11,5,24.07,25.42
2024-06-11,6,26.71,24.62
2024-06-11,7,28.85,27.08
2024-06-11,8,25.91,27.84
2024-06-11,9,24.93,22.81
2024-06-11,10,25.49,25.96
2024-06-11,11,34.7,67.84
2024-06-11,12,45.89,102.07
2024-06-11,13,66.08,155.61
2024-06-11,14,93.14,256.78
2024-06-11,15,95.55,193.4
2024-06-11,16,106.65,137.47
2024-06-11,17,101.9,57.33
2024-06-11,18,88.18,-116.75
2024-06-11,19,85.38,-31.77
2024-06-11,20,89.24,-183.47
2024-06-11,21,94.76,-114.44
2024-06-11,22,50.63,-168.29
2024-06-11,23,30.78,15.51
2024-06-11,24,27.3,31.5
2024-07-05,14,40.54,22.85
2024-07-05,15,46.01,25.85
2024-07-05,16,49.39,28.2
2024-07-05,17,50.48,32.65
2024-07-05,18,42.02,45.54
2024-07-05,19,30.98,32.03
2024-07-05,20,23.88,34.3
2024-07-05,21,11.31,33.85
2024-07-05,22,14.67,23.13
2024-07-05,23,28.48,20.75
2024-07-05,24,27.93,22.48
2024-07-06,1,23.82,21.71
2024-07-06,2,23.29,21.76
2024-07-06,3,22.29,20.42
2024-07-06,4,21.19,19.87
2024-07-06,5,20.63,19.65
2024-07-06,6,23.66,19.5
2024-07-06,7,22.72,19.36
2024-07-06,8,18.55,17.36
2024-07-06,9,16.62,14.83
2024-07-06,10,21,43.17
2024-07-06,11,24.99,98.66
2024-07-06,12,30.04,753.07
2024-07-06,13,41.28,364.66
2024-07-06,14,57.42,243.42
2024-07-06,15,64.9,574.06
2024-07-06,16,69,233.5
2024-07-06,17,71.24,556.86
2024-07-06,18,46.05,287.79
2024-07-06,19,39.99,32.12
2024-07-06,20,55.54,16.76
2024-07-06,21,39.3,17.54
2024-07-06,22,30.37,17.79
2024-07-06,23,23.81,17.81
2024-07-06,24,20.45,17.52
2024-07-07,1,21.93,17.03
2024-07-07,2,19.89,16.04
2024-07-07,3,18.02,15.97
2024-07-07,4,16.67,14.68
2024-07-07,5,15.27,14.3
2024-07-07,6,15.66,14.46
2024-07-07,7,14.52,13.74
2024-07-07,8,11.59,9.54
2024-07-07,9,8.76,6.4
2024-07-07,10,10.49,0
2024-07-07,11,15.17,6.62
2024-07-07,12,18.82,13.32
2024-07-07,13,23.68,16.11
2024-07-07,14,29.07,16.58
2024-07-07,15,33.23,19.56
2024-07-07,16,30.8,21.69
2024-07-07,17,37.95,21.65
2024-07-07,18,33.78,20.05
2024-07-07,19,28.91,19.52
2024-07-07,20,24.44,18.18
2024-07-07,21,22.79,19.83
2024-07-07,22,21.26,19.25
2024-07-07,23,18.68,15.73
2024-07-07,24,18.55,14.35
2024-07-08,1,20.24,14.33
2024-07-08,2,18.5,13.87
2024-07-08,3,18.61,10.16
2024-07-08,4,19.35,10.09
2024-07-08,5,21.53,12.44
2024-07-08,6,24.88,15.65
2024-07-08,7,20.64,18.28
2024-07-08,8,17.79,15.56
2024-07-08,9,13.9,24.33
2024-07-08,10,14.72,30.96
2024-07-08,11,18.7,28.82
2024-07-08,12,25.26,54.01
2024-07-08,13,34.07,167.09
2024-07-08,14,42.23,133.74
2024-07-08,15,30.68,32.13
2024-07-08,16,28.39,20.92
